I0716 12:51:35.359011 125797712770560 run.py:722] (val) algo bfs step 0: {'pi': 0.5791015625, 'score': 0.5791015625, 'examples_seen': 154, 'step': 0, 'algorithm': 'bfs'}
I0716 12:59:33.053682 125797712770560 run.py:722] (val) algo bfs step 7200: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 860303, 'step': 7200, 'algorithm': 'bfs'}
I0716 12:59:35.770643 125797712770560 run.py:722] (val) algo bfs step 7250: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 866216, 'step': 7250, 'algorithm': 'bfs'}
I0716 12:59:38.378272 125797712770560 run.py:722] (val) algo bfs step 7300: {'pi': 1.0, 'score': 1.0, 'examples_seen': 872321, 'step': 7300, 'algorithm': 'bfs'}
I0716 12:59:41.059305 125797712770560 run.py:722] (val) algo bfs step 7350: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 878405, 'step': 7350, 'algorithm': 'bfs'}
I0716 12:59:43.849000 125797712770560 run.py:722] (val) algo bfs step 7400: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 884440, 'step': 7400, 'algorithm': 'bfs'}
I0716 12:59:46.577722 125797712770560 run.py:722] (val) algo bfs step 7450: {'pi': 1.0, 'score': 1.0, 'examples_seen': 890348, 'step': 7450, 'algorithm': 'bfs'}
I0716 12:59:49.370748 125797712770560 run.py:722] (val) algo bfs step 7500: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 896375, 'step': 7500, 'algorithm': 'bfs'}
I0716 12:59:52.147790 125797712770560 run.py:722] (val) algo bfs step 7550: {'pi': 1.0, 'score': 1.0, 'examples_seen': 902330, 'step': 7550, 'algorithm': 'bfs'}
I0716 12:59:54.873366 125797712770560 run.py:722] (val) algo bfs step 7600: {'pi': 1.0, 'score': 1.0, 'examples_seen': 908331, 'step': 7600, 'algorithm': 'bfs'}
I0716 12:59:57.503356 125797712770560 run.py:722] (val) algo bfs step 7650: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 914336, 'step': 7650, 'algorithm': 'bfs'}
I0716 13:00:00.295475 125797712770560 run.py:722] (val) algo bfs step 7700: {'pi': 1.0, 'score': 1.0, 'examples_seen': 920360, 'step': 7700, 'algorithm': 'bfs'}
I0716 13:00:02.995911 125797712770560 run.py:722] (val) algo bfs step 7750: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 926343, 'step': 7750, 'algorithm': 'bfs'}
I0716 13:00:05.638621 125797712770560 run.py:722] (val) algo bfs step 7800: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 932305, 'step': 7800, 'algorithm': 'bfs'}
I0716 13:00:08.363869 125797712770560 run.py:722] (val) algo bfs step 7850: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 938286, 'step': 7850, 'algorithm': 'bfs'}
I0716 13:00:11.058785 125797712770560 run.py:722] (val) algo bfs step 7900: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 944234, 'step': 7900, 'algorithm': 'bfs'}
I0716 13:00:13.766676 125797712770560 run.py:722] (val) algo bfs step 7950: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 950187, 'step': 7950, 'algorithm': 'bfs'}
I0716 13:00:16.382504 125797712770560 run.py:722] (val) algo bfs step 8000: {'pi': 1.0, 'score': 1.0, 'examples_seen': 956239, 'step': 8000, 'algorithm': 'bfs'}
I0716 13:00:19.071293 125797712770560 run.py:722] (val) algo bfs step 8050: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 962227, 'step': 8050, 'algorithm': 'bfs'}
I0716 13:00:21.745674 125797712770560 run.py:722] (val) algo bfs step 8100: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 968164, 'step': 8100, 'algorithm': 'bfs'}
I0716 13:00:24.448924 125797712770560 run.py:722] (val) algo bfs step 8150: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 974126, 'step': 8150, 'algorithm': 'bfs'}
I0716 13:00:27.188131 125797712770560 run.py:722] (val) algo bfs step 8200: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 980064, 'step': 8200, 'algorithm': 'bfs'}
I0716 13:00:29.951689 125797712770560 run.py:722] (val) algo bfs step 8250: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 986038, 'step': 8250, 'algorithm': 'bfs'}
I0716 13:00:32.608047 125797712770560 run.py:722] (val) algo bfs step 8300: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 991986, 'step': 8300, 'algorithm': 'bfs'}
I0716 13:00:35.326456 125797712770560 run.py:722] (val) algo bfs step 8350: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 998037, 'step': 8350, 'algorithm': 'bfs'}
I0716 13:00:38.030913 125797712770560 run.py:722] (val) algo bfs step 8400: {'pi': 1.0, 'score': 1.0, 'examples_seen': 1004065, 'step': 8400, 'algorithm': 'bfs'}
I0716 13:00:40.795110 125797712770560 run.py:722] (val) algo bfs step 8450: {'pi': 1.0, 'score': 1.0, 'examples_seen': 1010056, 'step': 8450, 'algorithm': 'bfs'}
I0716 13:00:43.538925 125797712770560 run.py:722] (val) algo bfs step 8500: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1015959, 'step': 8500, 'algorithm': 'bfs'}
I0716 13:00:46.295358 125797712770560 run.py:722] (val) algo bfs step 8550: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1021891, 'step': 8550, 'algorithm': 'bfs'}
I0716 13:00:48.930595 125797712770560 run.py:722] (val) algo bfs step 8600: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 1027801, 'step': 8600, 'algorithm': 'bfs'}
I0716 13:00:51.642916 125797712770560 run.py:722] (val) algo bfs step 8650: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1033691, 'step': 8650, 'algorithm': 'bfs'}
I0716 13:00:54.393767 125797712770560 run.py:722] (val) algo bfs step 8700: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1039757, 'step': 8700, 'algorithm': 'bfs'}
I0716 13:00:57.024944 125797712770560 run.py:722] (val) algo bfs step 8750: {'pi': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 1045700, 'step': 8750, 'algorithm': 'bfs'}
I0716 13:00:59.752702 125797712770560 run.py:722] (val) algo bfs step 8800: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 1051663, 'step': 8800, 'algorithm': 'bfs'}
I0716 13:01:02.386938 125797712770560 run.py:722] (val) algo bfs step 8850: {'pi': 1.0, 'score': 1.0, 'examples_seen': 1057591, 'step': 8850, 'algorithm': 'bfs'}
I0716 13:01:05.067813 125797712770560 run.py:722] (val) algo bfs step 8900: {'pi': 1.0, 'score': 1.0, 'examples_seen': 1063496, 'step': 8900, 'algorithm': 'bfs'}
I0716 13:01:07.773799 125797712770560 run.py:722] (val) algo bfs step 8950: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1069481, 'step': 8950, 'algorithm': 'bfs'}
I0716 13:01:10.482573 125797712770560 run.py:722] (val) algo bfs step 9000: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 1075384, 'step': 9000, 'algorithm': 'bfs'}
I0716 13:01:13.154297 125797712770560 run.py:722] (val) algo bfs step 9050: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1081414, 'step': 9050, 'algorithm': 'bfs'}
I0716 13:01:15.886238 125797712770560 run.py:722] (val) algo bfs step 9100: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1087450, 'step': 9100, 'algorithm': 'bfs'}
I0716 13:01:18.602122 125797712770560 run.py:722] (val) algo bfs step 9150: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1093430, 'step': 9150, 'algorithm': 'bfs'}
I0716 13:01:21.253462 125797712770560 run.py:722] (val) algo bfs step 9200: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1099350, 'step': 9200, 'algorithm': 'bfs'}
I0716 13:01:23.992821 125797712770560 run.py:722] (val) algo bfs step 9250: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1105288, 'step': 9250, 'algorithm': 'bfs'}
I0716 13:01:26.686419 125797712770560 run.py:722] (val) algo bfs step 9300: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1111251, 'step': 9300, 'algorithm': 'bfs'}
I0716 13:01:29.344350 125797712770560 run.py:722] (val) algo bfs step 9350: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1117170, 'step': 9350, 'algorithm': 'bfs'}
I0716 13:01:32.138862 125797712770560 run.py:722] (val) algo bfs step 9400: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1123237, 'step': 9400, 'algorithm': 'bfs'}
I0716 13:01:34.822095 125797712770560 run.py:722] (val) algo bfs step 9450: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1129220, 'step': 9450, 'algorithm': 'bfs'}
I0716 13:01:37.520537 125797712770560 run.py:722] (val) algo bfs step 9500: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1135133, 'step': 9500, 'algorithm': 'bfs'}
I0716 13:01:40.280002 125797712770560 run.py:722] (val) algo bfs step 9550: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1141116, 'step': 9550, 'algorithm': 'bfs'}
I0716 13:01:43.021718 125797712770560 run.py:722] (val) algo bfs step 9600: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 1147045, 'step': 9600, 'algorithm': 'bfs'}
I0716 13:01:45.656388 125797712770560 run.py:722] (val) algo bfs step 9650: {'pi': 1.0, 'score': 1.0, 'examples_seen': 1152942, 'step': 9650, 'algorithm': 'bfs'}
I0716 13:01:48.373972 125797712770560 run.py:722] (val) algo bfs step 9700: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1158876, 'step': 9700, 'algorithm': 'bfs'}
I0716 13:01:51.084914 125797712770560 run.py:722] (val) algo bfs step 9750: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 1164929, 'step': 9750, 'algorithm': 'bfs'}
I0716 13:01:53.872556 125797712770560 run.py:722] (val) algo bfs step 9800: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 1171009, 'step': 9800, 'algorithm': 'bfs'}
I0716 13:01:56.531089 125797712770560 run.py:722] (val) algo bfs step 9850: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1176967, 'step': 9850, 'algorithm': 'bfs'}
I0716 13:01:59.178245 125797712770560 run.py:722] (val) algo bfs step 9900: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1182948, 'step': 9900, 'algorithm': 'bfs'}
I0716 13:02:01.822101 125797712770560 run.py:722] (val) algo bfs step 9950: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 1188876, 'step': 9950, 'algorithm': 'bfs'}
I0716 13:02:04.470747 125797712770560 run.py:752] Restoring best model from checkpoint...
I0716 13:02:09.964153 125797712770560 run.py:767] (test) algo bfs : {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1194759, 'step': 10000, 'algorithm': 'bfs'}
I0716 13:02:09.964290 125797712770560 run.py:769] Done!
