I0716 21:20:40.767222 137202607490560 run.py:722] (val) algo lcs_length step 0: {'b': 0.549072265625, 'score': 0.549072265625, 'examples_seen': 256, 'step': 0, 'algorithm': 'lcs_length'}
I0716 21:29:09.508969 137202607490560 run.py:722] (val) algo lcs_length step 6900: {'b': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 818498, 'step': 6900, 'algorithm': 'lcs_length'}
I0716 21:29:12.737096 137202607490560 run.py:722] (val) algo lcs_length step 6950: {'b': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 824566, 'step': 6950, 'algorithm': 'lcs_length'}
I0716 21:29:15.942073 137202607490560 run.py:722] (val) algo lcs_length step 7000: {'b': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 830642, 'step': 7000, 'algorithm': 'lcs_length'}
I0716 21:29:19.138767 137202607490560 run.py:722] (val) algo lcs_length step 7050: {'b': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 836581, 'step': 7050, 'algorithm': 'lcs_length'}
I0716 21:29:22.333384 137202607490560 run.py:722] (val) algo lcs_length step 7100: {'b': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 842479, 'step': 7100, 'algorithm': 'lcs_length'}
I0716 21:29:25.457455 137202607490560 run.py:722] (val) algo lcs_length step 7150: {'b': 0.970947265625, 'score': 0.970947265625, 'examples_seen': 848321, 'step': 7150, 'algorithm': 'lcs_length'}
I0716 21:29:28.694201 137202607490560 run.py:722] (val) algo lcs_length step 7200: {'b': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 854180, 'step': 7200, 'algorithm': 'lcs_length'}
I0716 21:29:31.897253 137202607490560 run.py:722] (val) algo lcs_length step 7250: {'b': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 860019, 'step': 7250, 'algorithm': 'lcs_length'}
I0716 21:29:35.108058 137202607490560 run.py:722] (val) algo lcs_length step 7300: {'b': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 866098, 'step': 7300, 'algorithm': 'lcs_length'}
I0716 21:29:38.383608 137202607490560 run.py:722] (val) algo lcs_length step 7350: {'b': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 872170, 'step': 7350, 'algorithm': 'lcs_length'}
I0716 21:29:41.580368 137202607490560 run.py:722] (val) algo lcs_length step 7400: {'b': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 878116, 'step': 7400, 'algorithm': 'lcs_length'}
I0716 21:29:44.788828 137202607490560 run.py:722] (val) algo lcs_length step 7450: {'b': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 884023, 'step': 7450, 'algorithm': 'lcs_length'}
I0716 21:29:47.968569 137202607490560 run.py:722] (val) algo lcs_length step 7500: {'b': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 889862, 'step': 7500, 'algorithm': 'lcs_length'}
I0716 21:29:51.186638 137202607490560 run.py:722] (val) algo lcs_length step 7550: {'b': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 895720, 'step': 7550, 'algorithm': 'lcs_length'}
I0716 21:29:54.402635 137202607490560 run.py:722] (val) algo lcs_length step 7600: {'b': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 901554, 'step': 7600, 'algorithm': 'lcs_length'}
I0716 21:29:57.563740 137202607490560 run.py:722] (val) algo lcs_length step 7650: {'b': 0.98779296875, 'score': 0.98779296875, 'examples_seen': 907603, 'step': 7650, 'algorithm': 'lcs_length'}
I0716 21:30:00.850053 137202607490560 run.py:722] (val) algo lcs_length step 7700: {'b': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 913683, 'step': 7700, 'algorithm': 'lcs_length'}
I0716 21:30:04.043606 137202607490560 run.py:722] (val) algo lcs_length step 7750: {'b': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 919657, 'step': 7750, 'algorithm': 'lcs_length'}
I0716 21:30:07.244293 137202607490560 run.py:722] (val) algo lcs_length step 7800: {'b': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 925545, 'step': 7800, 'algorithm': 'lcs_length'}
I0716 21:30:10.432831 137202607490560 run.py:722] (val) algo lcs_length step 7850: {'b': 0.982421875, 'score': 0.982421875, 'examples_seen': 931403, 'step': 7850, 'algorithm': 'lcs_length'}
I0716 21:30:13.568504 137202607490560 run.py:722] (val) algo lcs_length step 7900: {'b': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 937257, 'step': 7900, 'algorithm': 'lcs_length'}
I0716 21:30:16.733884 137202607490560 run.py:722] (val) algo lcs_length step 7950: {'b': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 943112, 'step': 7950, 'algorithm': 'lcs_length'}
I0716 21:30:19.925634 137202607490560 run.py:722] (val) algo lcs_length step 8000: {'b': 0.983154296875, 'score': 0.983154296875, 'examples_seen': 949192, 'step': 8000, 'algorithm': 'lcs_length'}
I0716 21:30:23.116891 137202607490560 run.py:722] (val) algo lcs_length step 8050: {'b': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 955267, 'step': 8050, 'algorithm': 'lcs_length'}
I0716 21:30:26.234893 137202607490560 run.py:722] (val) algo lcs_length step 8100: {'b': 0.984130859375, 'score': 0.984130859375, 'examples_seen': 961221, 'step': 8100, 'algorithm': 'lcs_length'}
I0716 21:30:29.431987 137202607490560 run.py:722] (val) algo lcs_length step 8150: {'b': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 967132, 'step': 8150, 'algorithm': 'lcs_length'}
I0716 21:30:32.543557 137202607490560 run.py:722] (val) algo lcs_length step 8200: {'b': 0.99169921875, 'score': 0.99169921875, 'examples_seen': 972997, 'step': 8200, 'algorithm': 'lcs_length'}
I0716 21:30:35.736755 137202607490560 run.py:722] (val) algo lcs_length step 8250: {'b': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 978858, 'step': 8250, 'algorithm': 'lcs_length'}
I0716 21:30:38.877840 137202607490560 run.py:722] (val) algo lcs_length step 8300: {'b': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 984709, 'step': 8300, 'algorithm': 'lcs_length'}
I0716 21:30:42.095406 137202607490560 run.py:722] (val) algo lcs_length step 8350: {'b': 0.984130859375, 'score': 0.984130859375, 'examples_seen': 990785, 'step': 8350, 'algorithm': 'lcs_length'}
I0716 21:30:45.313072 137202607490560 run.py:722] (val) algo lcs_length step 8400: {'b': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 996840, 'step': 8400, 'algorithm': 'lcs_length'}
I0716 21:30:48.457330 137202607490560 run.py:722] (val) algo lcs_length step 8450: {'b': 0.98828125, 'score': 0.98828125, 'examples_seen': 1002785, 'step': 8450, 'algorithm': 'lcs_length'}
I0716 21:30:51.629230 137202607490560 run.py:722] (val) algo lcs_length step 8500: {'b': 0.986328125, 'score': 0.986328125, 'examples_seen': 1008690, 'step': 8500, 'algorithm': 'lcs_length'}
I0716 21:30:54.802142 137202607490560 run.py:722] (val) algo lcs_length step 8550: {'b': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 1014549, 'step': 8550, 'algorithm': 'lcs_length'}
I0716 21:30:57.976000 137202607490560 run.py:722] (val) algo lcs_length step 8600: {'b': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 1020397, 'step': 8600, 'algorithm': 'lcs_length'}
I0716 21:31:01.196647 137202607490560 run.py:722] (val) algo lcs_length step 8650: {'b': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 1026245, 'step': 8650, 'algorithm': 'lcs_length'}
I0716 21:31:04.396200 137202607490560 run.py:722] (val) algo lcs_length step 8700: {'b': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 1032315, 'step': 8700, 'algorithm': 'lcs_length'}
I0716 21:31:07.600918 137202607490560 run.py:722] (val) algo lcs_length step 8750: {'b': 0.986328125, 'score': 0.986328125, 'examples_seen': 1038394, 'step': 8750, 'algorithm': 'lcs_length'}
I0716 21:31:10.758098 137202607490560 run.py:722] (val) algo lcs_length step 8800: {'b': 0.98828125, 'score': 0.98828125, 'examples_seen': 1044347, 'step': 8800, 'algorithm': 'lcs_length'}
I0716 21:31:13.937251 137202607490560 run.py:722] (val) algo lcs_length step 8850: {'b': 0.988525390625, 'score': 0.988525390625, 'examples_seen': 1050242, 'step': 8850, 'algorithm': 'lcs_length'}
I0716 21:31:17.094668 137202607490560 run.py:722] (val) algo lcs_length step 8900: {'b': 0.986572265625, 'score': 0.986572265625, 'examples_seen': 1056101, 'step': 8900, 'algorithm': 'lcs_length'}
I0716 21:31:20.260551 137202607490560 run.py:722] (val) algo lcs_length step 8950: {'b': 0.983154296875, 'score': 0.983154296875, 'examples_seen': 1061953, 'step': 8950, 'algorithm': 'lcs_length'}
I0716 21:31:23.461566 137202607490560 run.py:722] (val) algo lcs_length step 9000: {'b': 0.97900390625, 'score': 0.97900390625, 'examples_seen': 1067810, 'step': 9000, 'algorithm': 'lcs_length'}
I0716 21:31:26.676153 137202607490560 run.py:722] (val) algo lcs_length step 9050: {'b': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 1073877, 'step': 9050, 'algorithm': 'lcs_length'}
I0716 21:31:29.842104 137202607490560 run.py:722] (val) algo lcs_length step 9100: {'b': 0.984375, 'score': 0.984375, 'examples_seen': 1079949, 'step': 9100, 'algorithm': 'lcs_length'}
I0716 21:31:33.045073 137202607490560 run.py:722] (val) algo lcs_length step 9150: {'b': 0.990234375, 'score': 0.990234375, 'examples_seen': 1085884, 'step': 9150, 'algorithm': 'lcs_length'}
I0716 21:31:36.182953 137202607490560 run.py:722] (val) algo lcs_length step 9200: {'b': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 1091781, 'step': 9200, 'algorithm': 'lcs_length'}
I0716 21:31:39.326405 137202607490560 run.py:722] (val) algo lcs_length step 9250: {'b': 0.983642578125, 'score': 0.983642578125, 'examples_seen': 1097649, 'step': 9250, 'algorithm': 'lcs_length'}
I0716 21:31:42.496511 137202607490560 run.py:722] (val) algo lcs_length step 9300: {'b': 0.98486328125, 'score': 0.98486328125, 'examples_seen': 1103504, 'step': 9300, 'algorithm': 'lcs_length'}
I0716 21:31:45.693364 137202607490560 run.py:722] (val) algo lcs_length step 9350: {'b': 0.976806640625, 'score': 0.976806640625, 'examples_seen': 1109357, 'step': 9350, 'algorithm': 'lcs_length'}
I0716 21:31:48.857397 137202607490560 run.py:722] (val) algo lcs_length step 9400: {'b': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 1115423, 'step': 9400, 'algorithm': 'lcs_length'}
I0716 21:31:52.073388 137202607490560 run.py:722] (val) algo lcs_length step 9450: {'b': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 1121494, 'step': 9450, 'algorithm': 'lcs_length'}
I0716 21:31:55.295688 137202607490560 run.py:722] (val) algo lcs_length step 9500: {'b': 0.976318359375, 'score': 0.976318359375, 'examples_seen': 1127444, 'step': 9500, 'algorithm': 'lcs_length'}
I0716 21:31:58.513590 137202607490560 run.py:722] (val) algo lcs_length step 9550: {'b': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 1133347, 'step': 9550, 'algorithm': 'lcs_length'}
I0716 21:32:01.621136 137202607490560 run.py:722] (val) algo lcs_length step 9600: {'b': 0.98779296875, 'score': 0.98779296875, 'examples_seen': 1139190, 'step': 9600, 'algorithm': 'lcs_length'}
I0716 21:32:04.776471 137202607490560 run.py:722] (val) algo lcs_length step 9650: {'b': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 1145061, 'step': 9650, 'algorithm': 'lcs_length'}
I0716 21:32:07.942636 137202607490560 run.py:722] (val) algo lcs_length step 9700: {'b': 0.990234375, 'score': 0.990234375, 'examples_seen': 1150908, 'step': 9700, 'algorithm': 'lcs_length'}
I0716 21:32:11.140148 137202607490560 run.py:722] (val) algo lcs_length step 9750: {'b': 0.984619140625, 'score': 0.984619140625, 'examples_seen': 1156968, 'step': 9750, 'algorithm': 'lcs_length'}
I0716 21:32:14.397067 137202607490560 run.py:722] (val) algo lcs_length step 9800: {'b': 0.98876953125, 'score': 0.98876953125, 'examples_seen': 1163043, 'step': 9800, 'algorithm': 'lcs_length'}
I0716 21:32:17.574382 137202607490560 run.py:722] (val) algo lcs_length step 9850: {'b': 0.99560546875, 'score': 0.99560546875, 'examples_seen': 1168992, 'step': 9850, 'algorithm': 'lcs_length'}
I0716 21:32:20.746208 137202607490560 run.py:722] (val) algo lcs_length step 9900: {'b': 0.98583984375, 'score': 0.98583984375, 'examples_seen': 1174894, 'step': 9900, 'algorithm': 'lcs_length'}
I0716 21:32:23.884355 137202607490560 run.py:722] (val) algo lcs_length step 9950: {'b': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 1180727, 'step': 9950, 'algorithm': 'lcs_length'}
I0716 21:32:26.986744 137202607490560 run.py:752] Restoring best model from checkpoint...
I0716 21:32:34.155784 137202607490560 run.py:767] (test) algo lcs_length : {'b': 0.820404052734375, 'score': 0.820404052734375, 'examples_seen': 1186537, 'step': 10000, 'algorithm': 'lcs_length'}
I0716 21:32:34.155918 137202607490560 run.py:769] Done!
