I0715 23:08:50.652536 130777306789376 run.py:722] (val) algo jarvis_march step 0: {'in_hull': 0.4866023579849946, 'score': 0.4866023579849946, 'examples_seen': 16, 'step': 0, 'algorithm': 'jarvis_march'}
I0715 23:12:12.983964 130777306789376 run.py:722] (val) algo jarvis_march step 6350: {'in_hull': 0.9669421487603306, 'score': 0.9669421487603306, 'examples_seen': 72463, 'step': 6350, 'algorithm': 'jarvis_march'}
I0715 23:12:13.971048 130777306789376 run.py:722] (val) algo jarvis_march step 6400: {'in_hull': 0.9669156883671292, 'score': 0.9669156883671292, 'examples_seen': 73033, 'step': 6400, 'algorithm': 'jarvis_march'}
I0715 23:12:14.924539 130777306789376 run.py:722] (val) algo jarvis_march step 6450: {'in_hull': 0.9639830508474575, 'score': 0.9639830508474575, 'examples_seen': 73604, 'step': 6450, 'algorithm': 'jarvis_march'}
I0715 23:12:15.995491 130777306789376 run.py:722] (val) algo jarvis_march step 6500: {'in_hull': 0.9759825327510917, 'score': 0.9759825327510917, 'examples_seen': 74161, 'step': 6500, 'algorithm': 'jarvis_march'}
I0715 23:12:17.003307 130777306789376 run.py:722] (val) algo jarvis_march step 6550: {'in_hull': 0.9756613756613757, 'score': 0.9756613756613757, 'examples_seen': 74728, 'step': 6550, 'algorithm': 'jarvis_march'}
I0715 23:12:17.978285 130777306789376 run.py:722] (val) algo jarvis_march step 6600: {'in_hull': 0.9586776859504132, 'score': 0.9586776859504132, 'examples_seen': 75322, 'step': 6600, 'algorithm': 'jarvis_march'}
I0715 23:12:18.956225 130777306789376 run.py:722] (val) algo jarvis_march step 6650: {'in_hull': 0.9729144095341278, 'score': 0.9729144095341278, 'examples_seen': 75905, 'step': 6650, 'algorithm': 'jarvis_march'}
I0715 23:12:19.933463 130777306789376 run.py:722] (val) algo jarvis_march step 6700: {'in_hull': 0.9732739420935412, 'score': 0.9732739420935412, 'examples_seen': 76475, 'step': 6700, 'algorithm': 'jarvis_march'}
I0715 23:12:20.938054 130777306789376 run.py:722] (val) algo jarvis_march step 6750: {'in_hull': 0.9669156883671293, 'score': 0.9669156883671293, 'examples_seen': 77040, 'step': 6750, 'algorithm': 'jarvis_march'}
I0715 23:12:21.951202 130777306789376 run.py:722] (val) algo jarvis_march step 6800: {'in_hull': 0.962962962962963, 'score': 0.962962962962963, 'examples_seen': 77606, 'step': 6800, 'algorithm': 'jarvis_march'}
I0715 23:12:22.923365 130777306789376 run.py:722] (val) algo jarvis_march step 6850: {'in_hull': 0.9607438016528926, 'score': 0.9607438016528926, 'examples_seen': 78169, 'step': 6850, 'algorithm': 'jarvis_march'}
I0715 23:12:23.938727 130777306789376 run.py:722] (val) algo jarvis_march step 6900: {'in_hull': 0.9787685774946921, 'score': 0.9787685774946921, 'examples_seen': 78722, 'step': 6900, 'algorithm': 'jarvis_march'}
I0715 23:12:24.954585 130777306789376 run.py:722] (val) algo jarvis_march step 6950: {'in_hull': 0.9662676822633297, 'score': 0.9662676822633297, 'examples_seen': 79316, 'step': 6950, 'algorithm': 'jarvis_march'}
I0715 23:12:25.936919 130777306789376 run.py:722] (val) algo jarvis_march step 7000: {'in_hull': 0.966702470461869, 'score': 0.966702470461869, 'examples_seen': 79903, 'step': 7000, 'algorithm': 'jarvis_march'}
I0715 23:12:26.922134 130777306789376 run.py:722] (val) algo jarvis_march step 7050: {'in_hull': 0.9675324675324676, 'score': 0.9675324675324676, 'examples_seen': 80459, 'step': 7050, 'algorithm': 'jarvis_march'}
I0715 23:12:27.947838 130777306789376 run.py:722] (val) algo jarvis_march step 7100: {'in_hull': 0.9690265486725664, 'score': 0.9690265486725664, 'examples_seen': 81040, 'step': 7100, 'algorithm': 'jarvis_march'}
I0715 23:12:28.943178 130777306789376 run.py:722] (val) algo jarvis_march step 7150: {'in_hull': 0.960167714884696, 'score': 0.960167714884696, 'examples_seen': 81609, 'step': 7150, 'algorithm': 'jarvis_march'}
I0715 23:12:29.920845 130777306789376 run.py:722] (val) algo jarvis_march step 7200: {'in_hull': 0.9741935483870968, 'score': 0.9741935483870968, 'examples_seen': 82156, 'step': 7200, 'algorithm': 'jarvis_march'}
I0715 23:12:30.956689 130777306789376 run.py:722] (val) algo jarvis_march step 7250: {'in_hull': 0.966702470461869, 'score': 0.966702470461869, 'examples_seen': 82722, 'step': 7250, 'algorithm': 'jarvis_march'}
I0715 23:12:31.925149 130777306789376 run.py:722] (val) algo jarvis_march step 7300: {'in_hull': 0.9627263045793397, 'score': 0.9627263045793397, 'examples_seen': 83300, 'step': 7300, 'algorithm': 'jarvis_march'}
I0715 23:12:32.931511 130777306789376 run.py:722] (val) algo jarvis_march step 7350: {'in_hull': 0.9556756756756757, 'score': 0.9556756756756757, 'examples_seen': 83882, 'step': 7350, 'algorithm': 'jarvis_march'}
I0715 23:12:33.884980 130777306789376 run.py:722] (val) algo jarvis_march step 7400: {'in_hull': 0.9579288025889967, 'score': 0.9579288025889967, 'examples_seen': 84453, 'step': 7400, 'algorithm': 'jarvis_march'}
I0715 23:12:34.855669 130777306789376 run.py:722] (val) algo jarvis_march step 7450: {'in_hull': 0.9759665621734588, 'score': 0.9759665621734588, 'examples_seen': 85023, 'step': 7450, 'algorithm': 'jarvis_march'}
I0715 23:12:35.848316 130777306789376 run.py:722] (val) algo jarvis_march step 7500: {'in_hull': 0.964169381107492, 'score': 0.964169381107492, 'examples_seen': 85578, 'step': 7500, 'algorithm': 'jarvis_march'}
I0715 23:12:36.823578 130777306789376 run.py:722] (val) algo jarvis_march step 7550: {'in_hull': 0.9702127659574468, 'score': 0.9702127659574468, 'examples_seen': 86144, 'step': 7550, 'algorithm': 'jarvis_march'}
I0715 23:12:37.819159 130777306789376 run.py:722] (val) algo jarvis_march step 7600: {'in_hull': 0.9719827586206896, 'score': 0.9719827586206896, 'examples_seen': 86694, 'step': 7600, 'algorithm': 'jarvis_march'}
I0715 23:12:38.836356 130777306789376 run.py:722] (val) algo jarvis_march step 7650: {'in_hull': 0.9691358024691358, 'score': 0.9691358024691358, 'examples_seen': 87292, 'step': 7650, 'algorithm': 'jarvis_march'}
I0715 23:12:39.819422 130777306789376 run.py:722] (val) algo jarvis_march step 7700: {'in_hull': 0.976016684045881, 'score': 0.976016684045881, 'examples_seen': 87873, 'step': 7700, 'algorithm': 'jarvis_march'}
I0715 23:12:40.850994 130777306789376 run.py:722] (val) algo jarvis_march step 7750: {'in_hull': 0.9540347293156282, 'score': 0.9540347293156282, 'examples_seen': 88437, 'step': 7750, 'algorithm': 'jarvis_march'}
I0715 23:12:41.779246 130777306789376 run.py:722] (val) algo jarvis_march step 7800: {'in_hull': 0.9712460063897763, 'score': 0.9712460063897763, 'examples_seen': 89008, 'step': 7800, 'algorithm': 'jarvis_march'}
I0715 23:12:42.787599 130777306789376 run.py:722] (val) algo jarvis_march step 7850: {'in_hull': 0.9660144181256436, 'score': 0.9660144181256436, 'examples_seen': 89576, 'step': 7850, 'algorithm': 'jarvis_march'}
I0715 23:12:43.820208 130777306789376 run.py:722] (val) algo jarvis_march step 7900: {'in_hull': 0.9702970297029702, 'score': 0.9702970297029702, 'examples_seen': 90134, 'step': 7900, 'algorithm': 'jarvis_march'}
I0715 23:12:44.842474 130777306789376 run.py:722] (val) algo jarvis_march step 7950: {'in_hull': 0.9861259338313767, 'score': 0.9861259338313767, 'examples_seen': 90703, 'step': 7950, 'algorithm': 'jarvis_march'}
I0715 23:12:45.843513 130777306789376 run.py:722] (val) algo jarvis_march step 8000: {'in_hull': 0.9599999999999999, 'score': 0.9599999999999999, 'examples_seen': 91311, 'step': 8000, 'algorithm': 'jarvis_march'}
I0715 23:12:46.808637 130777306789376 run.py:722] (val) algo jarvis_march step 8050: {'in_hull': 0.963579604578564, 'score': 0.963579604578564, 'examples_seen': 91873, 'step': 8050, 'algorithm': 'jarvis_march'}
I0715 23:12:47.811853 130777306789376 run.py:722] (val) algo jarvis_march step 8100: {'in_hull': 0.9674711437565582, 'score': 0.9674711437565582, 'examples_seen': 92453, 'step': 8100, 'algorithm': 'jarvis_march'}
I0715 23:12:48.861505 130777306789376 run.py:722] (val) algo jarvis_march step 8150: {'in_hull': 0.9632034632034634, 'score': 0.9632034632034634, 'examples_seen': 93028, 'step': 8150, 'algorithm': 'jarvis_march'}
I0715 23:12:49.866808 130777306789376 run.py:722] (val) algo jarvis_march step 8200: {'in_hull': 0.9646302250803859, 'score': 0.9646302250803859, 'examples_seen': 93579, 'step': 8200, 'algorithm': 'jarvis_march'}
I0715 23:12:50.835594 130777306789376 run.py:722] (val) algo jarvis_march step 8250: {'in_hull': 0.9578059071729957, 'score': 0.9578059071729957, 'examples_seen': 94146, 'step': 8250, 'algorithm': 'jarvis_march'}
I0715 23:12:51.848111 130777306789376 run.py:722] (val) algo jarvis_march step 8300: {'in_hull': 0.9614604462474644, 'score': 0.9614604462474644, 'examples_seen': 94699, 'step': 8300, 'algorithm': 'jarvis_march'}
I0715 23:12:52.876664 130777306789376 run.py:722] (val) algo jarvis_march step 8350: {'in_hull': 0.9665587918015103, 'score': 0.9665587918015103, 'examples_seen': 95297, 'step': 8350, 'algorithm': 'jarvis_march'}
I0715 23:12:53.810306 130777306789376 run.py:722] (val) algo jarvis_march step 8400: {'in_hull': 0.9619151251360174, 'score': 0.9619151251360174, 'examples_seen': 95880, 'step': 8400, 'algorithm': 'jarvis_march'}
I0715 23:12:54.793181 130777306789376 run.py:722] (val) algo jarvis_march step 8450: {'in_hull': 0.9698275862068965, 'score': 0.9698275862068965, 'examples_seen': 96460, 'step': 8450, 'algorithm': 'jarvis_march'}
I0715 23:12:55.793303 130777306789376 run.py:722] (val) algo jarvis_march step 8500: {'in_hull': 0.9581589958158996, 'score': 0.9581589958158996, 'examples_seen': 97009, 'step': 8500, 'algorithm': 'jarvis_march'}
I0715 23:12:56.780893 130777306789376 run.py:722] (val) algo jarvis_march step 8550: {'in_hull': 0.9540106951871657, 'score': 0.9540106951871657, 'examples_seen': 97582, 'step': 8550, 'algorithm': 'jarvis_march'}
I0715 23:12:57.770666 130777306789376 run.py:722] (val) algo jarvis_march step 8600: {'in_hull': 0.973134328358209, 'score': 0.973134328358209, 'examples_seen': 98132, 'step': 8600, 'algorithm': 'jarvis_march'}
I0715 23:12:58.809724 130777306789376 run.py:722] (val) algo jarvis_march step 8650: {'in_hull': 0.973821989528796, 'score': 0.973821989528796, 'examples_seen': 98700, 'step': 8650, 'algorithm': 'jarvis_march'}
I0715 23:12:59.825994 130777306789376 run.py:722] (val) algo jarvis_march step 8700: {'in_hull': 0.96522655426765, 'score': 0.96522655426765, 'examples_seen': 99303, 'step': 8700, 'algorithm': 'jarvis_march'}
I0715 23:13:00.818297 130777306789376 run.py:722] (val) algo jarvis_march step 8750: {'in_hull': 0.9527806925498425, 'score': 0.9527806925498425, 'examples_seen': 99861, 'step': 8750, 'algorithm': 'jarvis_march'}
I0715 23:13:01.746462 130777306789376 run.py:722] (val) algo jarvis_march step 8800: {'in_hull': 0.9651416122004358, 'score': 0.9651416122004358, 'examples_seen': 100431, 'step': 8800, 'algorithm': 'jarvis_march'}
I0715 23:13:02.744464 130777306789376 run.py:722] (val) algo jarvis_march step 8850: {'in_hull': 0.9576271186440678, 'score': 0.9576271186440678, 'examples_seen': 101007, 'step': 8850, 'algorithm': 'jarvis_march'}
I0715 23:13:03.770672 130777306789376 run.py:722] (val) algo jarvis_march step 8900: {'in_hull': 0.9670563230605739, 'score': 0.9670563230605739, 'examples_seen': 101560, 'step': 8900, 'algorithm': 'jarvis_march'}
I0715 23:13:04.751637 130777306789376 run.py:722] (val) algo jarvis_march step 8950: {'in_hull': 0.9713114754098361, 'score': 0.9713114754098361, 'examples_seen': 102126, 'step': 8950, 'algorithm': 'jarvis_march'}
I0715 23:13:05.722585 130777306789376 run.py:722] (val) algo jarvis_march step 9000: {'in_hull': 0.9600886917960088, 'score': 0.9600886917960088, 'examples_seen': 102693, 'step': 9000, 'algorithm': 'jarvis_march'}
I0715 23:13:06.722020 130777306789376 run.py:722] (val) algo jarvis_march step 9050: {'in_hull': 0.9577754891864058, 'score': 0.9577754891864058, 'examples_seen': 103288, 'step': 9050, 'algorithm': 'jarvis_march'}
I0715 23:13:07.699792 130777306789376 run.py:722] (val) algo jarvis_march step 9100: {'in_hull': 0.9690501600853788, 'score': 0.9690501600853788, 'examples_seen': 103871, 'step': 9100, 'algorithm': 'jarvis_march'}
I0715 23:13:08.689293 130777306789376 run.py:722] (val) algo jarvis_march step 9150: {'in_hull': 0.9660842754367933, 'score': 0.9660842754367933, 'examples_seen': 104448, 'step': 9150, 'algorithm': 'jarvis_march'}
I0715 23:13:09.703279 130777306789376 run.py:722] (val) algo jarvis_march step 9200: {'in_hull': 0.9606625258799172, 'score': 0.9606625258799172, 'examples_seen': 105005, 'step': 9200, 'algorithm': 'jarvis_march'}
I0715 23:13:10.730679 130777306789376 run.py:722] (val) algo jarvis_march step 9250: {'in_hull': 0.9633620689655172, 'score': 0.9633620689655172, 'examples_seen': 105571, 'step': 9250, 'algorithm': 'jarvis_march'}
I0715 23:13:11.706371 130777306789376 run.py:722] (val) algo jarvis_march step 9300: {'in_hull': 0.9556962025316456, 'score': 0.9556962025316456, 'examples_seen': 106126, 'step': 9300, 'algorithm': 'jarvis_march'}
I0715 23:13:12.724667 130777306789376 run.py:722] (val) algo jarvis_march step 9350: {'in_hull': 0.9614181438998958, 'score': 0.9614181438998958, 'examples_seen': 106683, 'step': 9350, 'algorithm': 'jarvis_march'}
I0715 23:13:13.677845 130777306789376 run.py:722] (val) algo jarvis_march step 9400: {'in_hull': 0.948936170212766, 'score': 0.948936170212766, 'examples_seen': 107282, 'step': 9400, 'algorithm': 'jarvis_march'}
I0715 23:13:14.654647 130777306789376 run.py:722] (val) algo jarvis_march step 9450: {'in_hull': 0.9126016260162603, 'score': 0.9126016260162603, 'examples_seen': 107860, 'step': 9450, 'algorithm': 'jarvis_march'}
I0715 23:13:15.639813 130777306789376 run.py:722] (val) algo jarvis_march step 9500: {'in_hull': 0.950682056663169, 'score': 0.950682056663169, 'examples_seen': 108426, 'step': 9500, 'algorithm': 'jarvis_march'}
I0715 23:13:16.672248 130777306789376 run.py:722] (val) algo jarvis_march step 9550: {'in_hull': 0.911522633744856, 'score': 0.911522633744856, 'examples_seen': 108993, 'step': 9550, 'algorithm': 'jarvis_march'}
I0715 23:13:17.643667 130777306789376 run.py:722] (val) algo jarvis_march step 9600: {'in_hull': 0.9749182115594329, 'score': 0.9749182115594329, 'examples_seen': 109543, 'step': 9600, 'algorithm': 'jarvis_march'}
I0715 23:13:18.613839 130777306789376 run.py:722] (val) algo jarvis_march step 9650: {'in_hull': 0.9752421959095802, 'score': 0.9752421959095802, 'examples_seen': 110114, 'step': 9650, 'algorithm': 'jarvis_march'}
I0715 23:13:19.629894 130777306789376 run.py:722] (val) algo jarvis_march step 9700: {'in_hull': 0.9621848739495799, 'score': 0.9621848739495799, 'examples_seen': 110679, 'step': 9700, 'algorithm': 'jarvis_march'}
I0715 23:13:20.643463 130777306789376 run.py:722] (val) algo jarvis_march step 9750: {'in_hull': 0.9544008483563096, 'score': 0.9544008483563096, 'examples_seen': 111260, 'step': 9750, 'algorithm': 'jarvis_march'}
I0715 23:13:21.593414 130777306789376 run.py:722] (val) algo jarvis_march step 9800: {'in_hull': 0.9771490750816104, 'score': 0.9771490750816104, 'examples_seen': 111839, 'step': 9800, 'algorithm': 'jarvis_march'}
I0715 23:13:22.621172 130777306789376 run.py:722] (val) algo jarvis_march step 9850: {'in_hull': 0.9578059071729959, 'score': 0.9578059071729959, 'examples_seen': 112411, 'step': 9850, 'algorithm': 'jarvis_march'}
I0715 23:13:23.595245 130777306789376 run.py:722] (val) algo jarvis_march step 9900: {'in_hull': 0.9591397849462366, 'score': 0.9591397849462366, 'examples_seen': 112968, 'step': 9900, 'algorithm': 'jarvis_march'}
I0715 23:13:24.588561 130777306789376 run.py:722] (val) algo jarvis_march step 9950: {'in_hull': 0.9451476793248945, 'score': 0.9451476793248945, 'examples_seen': 113538, 'step': 9950, 'algorithm': 'jarvis_march'}
