I0716 07:57:25.194106 132989137683968 run.py:722] (val) algo dfs step 0: {'pi': 0.1103515625, 'score': 0.1103515625, 'examples_seen': 16, 'step': 0, 'algorithm': 'dfs'}
I0716 08:02:28.333884 132989137683968 run.py:722] (val) algo dfs step 7150: {'pi': 0.5419921875, 'score': 0.5419921875, 'examples_seen': 122608, 'step': 7150, 'algorithm': 'dfs'}
I0716 08:02:29.734227 132989137683968 run.py:722] (val) algo dfs step 7200: {'pi': 0.4453125, 'score': 0.4453125, 'examples_seen': 123440, 'step': 7200, 'algorithm': 'dfs'}
I0716 08:02:31.176867 132989137683968 run.py:722] (val) algo dfs step 7250: {'pi': 0.533203125, 'score': 0.533203125, 'examples_seen': 124288, 'step': 7250, 'algorithm': 'dfs'}
I0716 08:02:32.563994 132989137683968 run.py:722] (val) algo dfs step 7300: {'pi': 0.498046875, 'score': 0.498046875, 'examples_seen': 125184, 'step': 7300, 'algorithm': 'dfs'}
I0716 08:02:33.923259 132989137683968 run.py:722] (val) algo dfs step 7350: {'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 126048, 'step': 7350, 'algorithm': 'dfs'}
I0716 08:02:35.285115 132989137683968 run.py:722] (val) algo dfs step 7400: {'pi': 0.490234375, 'score': 0.490234375, 'examples_seen': 126896, 'step': 7400, 'algorithm': 'dfs'}
I0716 08:02:36.624091 132989137683968 run.py:722] (val) algo dfs step 7450: {'pi': 0.552734375, 'score': 0.552734375, 'examples_seen': 127760, 'step': 7450, 'algorithm': 'dfs'}
I0716 08:02:38.006474 132989137683968 run.py:722] (val) algo dfs step 7500: {'pi': 0.603515625, 'score': 0.603515625, 'examples_seen': 128592, 'step': 7500, 'algorithm': 'dfs'}
I0716 08:02:39.407376 132989137683968 run.py:722] (val) algo dfs step 7550: {'pi': 0.59765625, 'score': 0.59765625, 'examples_seen': 129456, 'step': 7550, 'algorithm': 'dfs'}
I0716 08:02:40.817463 132989137683968 run.py:722] (val) algo dfs step 7600: {'pi': 0.546875, 'score': 0.546875, 'examples_seen': 130288, 'step': 7600, 'algorithm': 'dfs'}
I0716 08:02:42.203918 132989137683968 run.py:722] (val) algo dfs step 7650: {'pi': 0.5546875, 'score': 0.5546875, 'examples_seen': 131152, 'step': 7650, 'algorithm': 'dfs'}
I0716 08:02:43.584736 132989137683968 run.py:722] (val) algo dfs step 7700: {'pi': 0.6162109375, 'score': 0.6162109375, 'examples_seen': 132032, 'step': 7700, 'algorithm': 'dfs'}
I0716 08:02:44.988341 132989137683968 run.py:722] (val) algo dfs step 7750: {'pi': 0.58203125, 'score': 0.58203125, 'examples_seen': 132896, 'step': 7750, 'algorithm': 'dfs'}
I0716 08:02:46.338611 132989137683968 run.py:722] (val) algo dfs step 7800: {'pi': 0.572265625, 'score': 0.572265625, 'examples_seen': 133760, 'step': 7800, 'algorithm': 'dfs'}
I0716 08:02:47.687827 132989137683968 run.py:722] (val) algo dfs step 7850: {'pi': 0.5859375, 'score': 0.5859375, 'examples_seen': 134592, 'step': 7850, 'algorithm': 'dfs'}
I0716 08:02:49.069246 132989137683968 run.py:722] (val) algo dfs step 7900: {'pi': 0.591796875, 'score': 0.591796875, 'examples_seen': 135424, 'step': 7900, 'algorithm': 'dfs'}
I0716 08:02:50.487274 132989137683968 run.py:722] (val) algo dfs step 7950: {'pi': 0.560546875, 'score': 0.560546875, 'examples_seen': 136304, 'step': 7950, 'algorithm': 'dfs'}
I0716 08:02:51.890074 132989137683968 run.py:722] (val) algo dfs step 8000: {'pi': 0.5390625, 'score': 0.5390625, 'examples_seen': 137168, 'step': 8000, 'algorithm': 'dfs'}
I0716 08:02:53.251616 132989137683968 run.py:722] (val) algo dfs step 8050: {'pi': 0.560546875, 'score': 0.560546875, 'examples_seen': 138048, 'step': 8050, 'algorithm': 'dfs'}
I0716 08:02:54.630921 132989137683968 run.py:722] (val) algo dfs step 8100: {'pi': 0.5400390625, 'score': 0.5400390625, 'examples_seen': 138912, 'step': 8100, 'algorithm': 'dfs'}
I0716 08:02:55.959926 132989137683968 run.py:722] (val) algo dfs step 8150: {'pi': 0.51953125, 'score': 0.51953125, 'examples_seen': 139728, 'step': 8150, 'algorithm': 'dfs'}
I0716 08:02:57.336866 132989137683968 run.py:722] (val) algo dfs step 8200: {'pi': 0.552734375, 'score': 0.552734375, 'examples_seen': 140592, 'step': 8200, 'algorithm': 'dfs'}
I0716 08:02:58.711474 132989137683968 run.py:722] (val) algo dfs step 8250: {'pi': 0.5673828125, 'score': 0.5673828125, 'examples_seen': 141456, 'step': 8250, 'algorithm': 'dfs'}
I0716 08:03:00.130470 132989137683968 run.py:722] (val) algo dfs step 8300: {'pi': 0.5537109375, 'score': 0.5537109375, 'examples_seen': 142288, 'step': 8300, 'algorithm': 'dfs'}
I0716 08:03:01.502357 132989137683968 run.py:722] (val) algo dfs step 8350: {'pi': 0.560546875, 'score': 0.560546875, 'examples_seen': 143152, 'step': 8350, 'algorithm': 'dfs'}
I0716 08:03:02.916947 132989137683968 run.py:722] (val) algo dfs step 8400: {'pi': 0.54296875, 'score': 0.54296875, 'examples_seen': 144048, 'step': 8400, 'algorithm': 'dfs'}
I0716 08:03:04.283498 132989137683968 run.py:722] (val) algo dfs step 8450: {'pi': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 144896, 'step': 8450, 'algorithm': 'dfs'}
I0716 08:03:05.624186 132989137683968 run.py:722] (val) algo dfs step 8500: {'pi': 0.5087890625, 'score': 0.5087890625, 'examples_seen': 145760, 'step': 8500, 'algorithm': 'dfs'}
I0716 08:03:07.013644 132989137683968 run.py:722] (val) algo dfs step 8550: {'pi': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 146592, 'step': 8550, 'algorithm': 'dfs'}
I0716 08:03:08.378641 132989137683968 run.py:722] (val) algo dfs step 8600: {'pi': 0.5244140625, 'score': 0.5244140625, 'examples_seen': 147456, 'step': 8600, 'algorithm': 'dfs'}
I0716 08:03:09.812670 132989137683968 run.py:722] (val) algo dfs step 8650: {'pi': 0.56640625, 'score': 0.56640625, 'examples_seen': 148288, 'step': 8650, 'algorithm': 'dfs'}
I0716 08:03:11.185967 132989137683968 run.py:722] (val) algo dfs step 8700: {'pi': 0.5830078125, 'score': 0.5830078125, 'examples_seen': 149168, 'step': 8700, 'algorithm': 'dfs'}
I0716 08:03:12.582150 132989137683968 run.py:722] (val) algo dfs step 8750: {'pi': 0.4970703125, 'score': 0.4970703125, 'examples_seen': 150048, 'step': 8750, 'algorithm': 'dfs'}
I0716 08:03:13.921653 132989137683968 run.py:722] (val) algo dfs step 8800: {'pi': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 150896, 'step': 8800, 'algorithm': 'dfs'}
I0716 08:03:15.296829 132989137683968 run.py:722] (val) algo dfs step 8850: {'pi': 0.5576171875, 'score': 0.5576171875, 'examples_seen': 151744, 'step': 8850, 'algorithm': 'dfs'}
I0716 08:03:16.683073 132989137683968 run.py:722] (val) algo dfs step 8900: {'pi': 0.587890625, 'score': 0.587890625, 'examples_seen': 152592, 'step': 8900, 'algorithm': 'dfs'}
I0716 08:03:18.097313 132989137683968 run.py:722] (val) algo dfs step 8950: {'pi': 0.5517578125, 'score': 0.5517578125, 'examples_seen': 153456, 'step': 8950, 'algorithm': 'dfs'}
I0716 08:03:19.479171 132989137683968 run.py:722] (val) algo dfs step 9000: {'pi': 0.6181640625, 'score': 0.6181640625, 'examples_seen': 154320, 'step': 9000, 'algorithm': 'dfs'}
I0716 08:03:20.928066 132989137683968 run.py:722] (val) algo dfs step 9050: {'pi': 0.544921875, 'score': 0.544921875, 'examples_seen': 155168, 'step': 9050, 'algorithm': 'dfs'}
I0716 08:03:22.306112 132989137683968 run.py:722] (val) algo dfs step 9100: {'pi': 0.5517578125, 'score': 0.5517578125, 'examples_seen': 156032, 'step': 9100, 'algorithm': 'dfs'}
I0716 08:03:23.657117 132989137683968 run.py:722] (val) algo dfs step 9150: {'pi': 0.5908203125, 'score': 0.5908203125, 'examples_seen': 156912, 'step': 9150, 'algorithm': 'dfs'}
I0716 08:03:25.041692 132989137683968 run.py:722] (val) algo dfs step 9200: {'pi': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 157744, 'step': 9200, 'algorithm': 'dfs'}
I0716 08:03:26.378442 132989137683968 run.py:722] (val) algo dfs step 9250: {'pi': 0.5810546875, 'score': 0.5810546875, 'examples_seen': 158624, 'step': 9250, 'algorithm': 'dfs'}
I0716 08:03:27.764831 132989137683968 run.py:722] (val) algo dfs step 9300: {'pi': 0.50390625, 'score': 0.50390625, 'examples_seen': 159440, 'step': 9300, 'algorithm': 'dfs'}
I0716 08:03:29.214869 132989137683968 run.py:722] (val) algo dfs step 9350: {'pi': 0.5927734375, 'score': 0.5927734375, 'examples_seen': 160288, 'step': 9350, 'algorithm': 'dfs'}
I0716 08:03:30.630845 132989137683968 run.py:722] (val) algo dfs step 9400: {'pi': 0.572265625, 'score': 0.572265625, 'examples_seen': 161184, 'step': 9400, 'algorithm': 'dfs'}
I0716 08:03:32.021069 132989137683968 run.py:722] (val) algo dfs step 9450: {'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 162064, 'step': 9450, 'algorithm': 'dfs'}
I0716 08:03:33.359002 132989137683968 run.py:722] (val) algo dfs step 9500: {'pi': 0.494140625, 'score': 0.494140625, 'examples_seen': 162912, 'step': 9500, 'algorithm': 'dfs'}
I0716 08:03:34.696972 132989137683968 run.py:722] (val) algo dfs step 9550: {'pi': 0.5126953125, 'score': 0.5126953125, 'examples_seen': 163760, 'step': 9550, 'algorithm': 'dfs'}
I0716 08:03:36.080797 132989137683968 run.py:722] (val) algo dfs step 9600: {'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 164592, 'step': 9600, 'algorithm': 'dfs'}
I0716 08:03:37.474491 132989137683968 run.py:722] (val) algo dfs step 9650: {'pi': 0.5986328125, 'score': 0.5986328125, 'examples_seen': 165472, 'step': 9650, 'algorithm': 'dfs'}
I0716 08:03:38.860064 132989137683968 run.py:722] (val) algo dfs step 9700: {'pi': 0.541015625, 'score': 0.541015625, 'examples_seen': 166288, 'step': 9700, 'algorithm': 'dfs'}
I0716 08:03:40.255557 132989137683968 run.py:722] (val) algo dfs step 9750: {'pi': 0.5302734375, 'score': 0.5302734375, 'examples_seen': 167168, 'step': 9750, 'algorithm': 'dfs'}
I0716 08:03:41.623660 132989137683968 run.py:722] (val) algo dfs step 9800: {'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 168048, 'step': 9800, 'algorithm': 'dfs'}
I0716 08:03:42.991194 132989137683968 run.py:722] (val) algo dfs step 9850: {'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 168880, 'step': 9850, 'algorithm': 'dfs'}
I0716 08:03:44.346851 132989137683968 run.py:722] (val) algo dfs step 9900: {'pi': 0.54296875, 'score': 0.54296875, 'examples_seen': 169760, 'step': 9900, 'algorithm': 'dfs'}
I0716 08:03:45.688766 132989137683968 run.py:722] (val) algo dfs step 9950: {'pi': 0.552734375, 'score': 0.552734375, 'examples_seen': 170592, 'step': 9950, 'algorithm': 'dfs'}
I0716 08:03:46.941247 132989137683968 run.py:752] Restoring best model from checkpoint...
I0716 08:03:55.742014 132989137683968 run.py:767] (test) algo dfs : {'pi': 0.1513671875, 'score': 0.1513671875, 'examples_seen': 171456, 'step': 10000, 'algorithm': 'dfs'}
I0716 08:03:55.742157 132989137683968 run.py:769] Done!
