{'start': 0.2900390625, 'end': 0.0, 'score': 0.14501953125, 'examples_seen': 80, 'step': 0, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93115234375, 'end': 0.9501953125, 'score': 0.940673828125, 'examples_seen': 444912, 'step': 8650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.947265625, 'end': 0.93212890625, 'score': 0.939697265625, 'examples_seen': 447552, 'step': 8700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94384765625, 'end': 0.93896484375, 'score': 0.94140625, 'examples_seen': 450160, 'step': 8750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9365234375, 'end': 0.9453125, 'score': 0.94091796875, 'examples_seen': 452720, 'step': 8800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93701171875, 'end': 0.9365234375, 'score': 0.936767578125, 'examples_seen': 455296, 'step': 8850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.931640625, 'end': 0.9287109375, 'score': 0.93017578125, 'examples_seen': 457824, 'step': 8900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9462890625, 'end': 0.9296875, 'score': 0.93798828125, 'examples_seen': 460368, 'step': 8950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93896484375, 'end': 0.9306640625, 'score': 0.934814453125, 'examples_seen': 462928, 'step': 9000, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9296875, 'end': 0.93408203125, 'score': 0.931884765625, 'examples_seen': 465552, 'step': 9050, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93603515625, 'end': 0.91064453125, 'score': 0.92333984375, 'examples_seen': 468176, 'step': 9100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.943359375, 'end': 0.94580078125, 'score': 0.944580078125, 'examples_seen': 470720, 'step': 9150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94189453125, 'end': 0.91064453125, 'score': 0.92626953125, 'examples_seen': 473296, 'step': 9200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93505859375, 'end': 0.92626953125, 'score': 0.9306640625, 'examples_seen': 475856, 'step': 9250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.919921875, 'end': 0.931640625, 'score': 0.92578125, 'examples_seen': 478384, 'step': 9300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94677734375, 'end': 0.94921875, 'score': 0.947998046875, 'examples_seen': 480912, 'step': 9350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9453125, 'end': 0.91259765625, 'score': 0.928955078125, 'examples_seen': 483568, 'step': 9400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.95263671875, 'end': 0.94482421875, 'score': 0.94873046875, 'examples_seen': 486176, 'step': 9450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92822265625, 'end': 0.92626953125, 'score': 0.92724609375, 'examples_seen': 488752, 'step': 9500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9189453125, 'end': 0.93115234375, 'score': 0.925048828125, 'examples_seen': 491312, 'step': 9550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92529296875, 'end': 0.927734375, 'score': 0.926513671875, 'examples_seen': 493840, 'step': 9600, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90234375, 'end': 0.93896484375, 'score': 0.920654296875, 'examples_seen': 496400, 'step': 9650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93701171875, 'end': 0.91845703125, 'score': 0.927734375, 'examples_seen': 498928, 'step': 9700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94091796875, 'end': 0.9326171875, 'score': 0.936767578125, 'examples_seen': 501552, 'step': 9750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9482421875, 'end': 0.9384765625, 'score': 0.943359375, 'examples_seen': 504176, 'step': 9800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9541015625, 'end': 0.919921875, 'score': 0.93701171875, 'examples_seen': 506736, 'step': 9850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93505859375, 'end': 0.9384765625, 'score': 0.936767578125, 'examples_seen': 509312, 'step': 9900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93505859375, 'end': 0.94091796875, 'score': 0.93798828125, 'examples_seen': 511840, 'step': 9950, 'algorithm': 'find_maximum_subarray_kadane'}
